17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER   0: d0 = 0.353; d1 = 0.676; d2 = 0.675; PPLX 2^6.89 = 119.0
ITER   1: d0 = 0.470; d1 = 0.694; d2 = 0.705; PPLX 2^6.88 = 117.9
ITER   2: d0 = 0.341; d1 = 0.674; d2 = 0.692; PPLX 2^6.88 = 118.1
ITER   3: d0 = 0.326; d1 = 0.692; d2 = 0.684; PPLX 2^6.89 = 118.2
ITER   4: d0 = 0.318; d1 = 0.664; d2 = 0.700; PPLX 2^6.88 = 117.8
ITER   5: d0 = 0.344; d1 = 0.670; d2 = 0.685; PPLX 2^6.88 = 118.2
ITER   6: d0 = 0.355; d1 = 0.659; d2 = 0.683; PPLX 2^6.89 = 118.3
ITER   7: d0 = 0.386; d1 = 0.669; d2 = 0.679; PPLX 2^6.89 = 118.3
ITER   8: d0 = 0.411; d1 = 0.661; d2 = 0.685; PPLX 2^6.89 = 118.2
ITER   9: d0 = 0.287; d1 = 0.695; d2 = 0.658; PPLX 2^6.89 = 118.9
ITER  10: d0 = 0.341; d1 = 0.666; d2 = 0.671; PPLX 2^6.89 = 118.6
ITER  11: d0 = 0.344; d1 = 0.668; d2 = 0.678; PPLX 2^6.89 = 118.4
ITER  12: d0 = 0.356; d1 = 0.660; d2 = 0.681; PPLX 2^6.89 = 118.3
ITER  13: d0 = 0.275; d1 = 0.692; d2 = 0.687; PPLX 2^6.88 = 118.1
ITER  14: d0 = 0.311; d1 = 0.709; d2 = 0.656; PPLX 2^6.89 = 119.0
ITER  15: d0 = 0.320; d1 = 0.692; d2 = 0.698; PPLX 2^6.88 = 117.8
ITER  16: d0 = 0.327; d1 = 0.679; d2 = 0.693; PPLX 2^6.88 = 118.0
ITER  17: d0 = 0.287; d1 = 0.676; d2 = 0.669; PPLX 2^6.89 = 118.7
ITER  18: d0 = 0.337; d1 = 0.656; d2 = 0.678; PPLX 2^6.89 = 118.4
ITER  19: d0 = 0.339; d1 = 0.673; d2 = 0.695; PPLX 2^6.88 = 117.9
ITER  20: d0 = 0.344; d1 = 0.667; d2 = 0.700; PPLX 2^6.88 = 117.8
ITER  21: d0 = 0.274; d1 = 0.657; d2 = 0.669; PPLX 2^6.89 = 118.7
ITER  22: d0 = 0.423; d1 = 0.655; d2 = 0.691; PPLX 2^6.88 = 118.1
ITER  23: d0 = 0.345; d1 = 0.671; d2 = 0.693; PPLX 2^6.88 = 118.0
ITER  24: d0 = 0.301; d1 = 0.664; d2 = 0.665; PPLX 2^6.89 = 118.9
