17964 (out of 15920737) words in dict
14957666 training, 963071 testing
7196429 restaurants created
6032.09kB of test data
ITER   0: d0 = 0.282; d1 = 0.686; d2 = 0.780; d3 = 0.663; PPLX 2^6.80 = 111.7
ITER   1: d0 = 0.298; d1 = 0.711; d2 = 0.780; d3 = 0.674; PPLX 2^6.79 = 111.0
ITER   2: d0 = 0.514; d1 = 0.695; d2 = 0.781; d3 = 0.670; PPLX 2^6.79 = 111.0
ITER   3: d0 = 0.492; d1 = 0.697; d2 = 0.755; d3 = 0.695; PPLX 2^6.79 = 110.6
ITER   4: d0 = 0.313; d1 = 0.678; d2 = 0.754; d3 = 0.676; PPLX 2^6.80 = 111.3
ITER   5: d0 = 0.307; d1 = 0.691; d2 = 0.768; d3 = 0.685; PPLX 2^6.79 = 110.7
ITER   6: d0 = 0.286; d1 = 0.672; d2 = 0.770; d3 = 0.688; PPLX 2^6.79 = 110.5
ITER   7: d0 = 0.504; d1 = 0.675; d2 = 0.760; d3 = 0.685; PPLX 2^6.79 = 110.9
ITER   8: d0 = 0.321; d1 = 0.677; d2 = 0.771; d3 = 0.684; PPLX 2^6.79 = 110.7
ITER   9: d0 = 0.437; d1 = 0.682; d2 = 0.754; d3 = 0.666; PPLX 2^6.80 = 111.7
ITER  10: d0 = 0.378; d1 = 0.694; d2 = 0.742; d3 = 0.682; PPLX 2^6.80 = 111.4
ITER  11: d0 = 0.312; d1 = 0.683; d2 = 0.770; d3 = 0.680; PPLX 2^6.79 = 110.9
ITER  12: d0 = 0.452; d1 = 0.674; d2 = 0.775; d3 = 0.685; PPLX 2^6.79 = 110.6
ITER  13: d0 = 0.320; d1 = 0.670; d2 = 0.762; d3 = 0.681; PPLX 2^6.80 = 111.1
ITER  14: d0 = 0.424; d1 = 0.665; d2 = 0.764; d3 = 0.666; PPLX 2^6.80 = 111.6
ITER  15: d0 = 0.341; d1 = 0.669; d2 = 0.752; d3 = 0.662; PPLX 2^6.81 = 112.0
ITER  16: d0 = 0.418; d1 = 0.685; d2 = 0.765; d3 = 0.680; PPLX 2^6.79 = 111.0
ITER  17: d0 = 0.477; d1 = 0.685; d2 = 0.748; d3 = 0.691; PPLX 2^6.79 = 111.0
ITER  18: d0 = 0.406; d1 = 0.672; d2 = 0.754; d3 = 0.696; PPLX 2^6.79 = 110.7
ITER  19: d0 = 0.356; d1 = 0.677; d2 = 0.764; d3 = 0.692; PPLX 2^6.79 = 110.6
ITER  20: d0 = 0.283; d1 = 0.687; d2 = 0.768; d3 = 0.693; PPLX 2^6.79 = 110.5
ITER  21: d0 = 0.415; d1 = 0.678; d2 = 0.756; d3 = 0.671; PPLX 2^6.80 = 111.5
ITER  22: d0 = 0.327; d1 = 0.648; d2 = 0.768; d3 = 0.672; PPLX 2^6.80 = 111.3
ITER  23: d0 = 0.388; d1 = 0.665; d2 = 0.763; d3 = 0.679; PPLX 2^6.80 = 111.1
ITER  24: d0 = 0.332; d1 = 0.648; d2 = 0.775; d3 = 0.696; PPLX 2^6.79 = 110.4
ITER  25: d0 = 0.307; d1 = 0.692; d2 = 0.764; d3 = 0.683; PPLX 2^6.79 = 111.0
ITER  26: d0 = 0.351; d1 = 0.636; d2 = 0.755; d3 = 0.678; PPLX 2^6.80 = 111.5
ITER  27: d0 = 0.326; d1 = 0.684; d2 = 0.755; d3 = 0.674; PPLX 2^6.80 = 111.5
ITER  28: d0 = 0.373; d1 = 0.691; d2 = 0.765; d3 = 0.668; PPLX 2^6.80 = 111.5
ITER  29: d0 = 0.350; d1 = 0.684; d2 = 0.776; d3 = 0.676; PPLX 2^6.79 = 111.0
ITER  30: d0 = 0.303; d1 = 0.693; d2 = 0.776; d3 = 0.670; PPLX 2^6.80 = 111.3
ITER  31: d0 = 0.287; d1 = 0.668; d2 = 0.750; d3 = 0.687; PPLX 2^6.80 = 111.1
ITER  32: d0 = 0.286; d1 = 0.663; d2 = 0.775; d3 = 0.660; PPLX 2^6.80 = 111.6
ITER  33: d0 = 0.364; d1 = 0.671; d2 = 0.779; d3 = 0.683; PPLX 2^6.79 = 110.7
ITER  34: d0 = 0.356; d1 = 0.671; d2 = 0.763; d3 = 0.668; PPLX 2^6.80 = 111.6
ITER  35: d0 = 0.339; d1 = 0.678; d2 = 0.767; d3 = 0.667; PPLX 2^6.80 = 111.5
ITER  36: d0 = 0.312; d1 = 0.700; d2 = 0.759; d3 = 0.665; PPLX 2^6.80 = 111.7
ITER  37: d0 = 0.297; d1 = 0.665; d2 = 0.769; d3 = 0.672; PPLX 2^6.80 = 111.3
ITER  38: d0 = 0.478; d1 = 0.686; d2 = 0.756; d3 = 0.676; PPLX 2^6.80 = 111.4
ITER  39: d0 = 0.309; d1 = 0.699; d2 = 0.765; d3 = 0.679; PPLX 2^6.79 = 111.0
ITER  40: d0 = 0.271; d1 = 0.672; d2 = 0.773; d3 = 0.663; PPLX 2^6.80 = 111.5
ITER  41: d0 = 0.316; d1 = 0.667; d2 = 0.771; d3 = 0.678; PPLX 2^6.79 = 111.0
ITER  42: d0 = 0.322; d1 = 0.646; d2 = 0.786; d3 = 0.669; PPLX 2^6.80 = 111.2
ITER  43: d0 = 0.496; d1 = 0.689; d2 = 0.758; d3 = 0.659; PPLX 2^6.81 = 112.0
ITER  44: d0 = 0.440; d1 = 0.655; d2 = 0.768; d3 = 0.674; PPLX 2^6.80 = 111.3
ITER  45: d0 = 0.280; d1 = 0.658; d2 = 0.750; d3 = 0.686; PPLX 2^6.80 = 111.2
ITER  46: d0 = 0.317; d1 = 0.668; d2 = 0.752; d3 = 0.664; PPLX 2^6.81 = 112.0
ITER  47: d0 = 0.279; d1 = 0.674; d2 = 0.761; d3 = 0.656; PPLX 2^6.81 = 112.1
ITER  48: d0 = 0.525; d1 = 0.665; d2 = 0.762; d3 = 0.657; PPLX 2^6.81 = 112.1
ITER  49: d0 = 0.441; d1 = 0.673; d2 = 0.755; d3 = 0.661; PPLX 2^6.81 = 112.0
ITER  50: d0 = 0.288; d1 = 0.668; d2 = 0.747; d3 = 0.685; PPLX 2^6.80 = 111.3
ITER  51: d0 = 0.313; d1 = 0.665; d2 = 0.747; d3 = 0.661; PPLX 2^6.81 = 112.2
ITER  52: d0 = 0.355; d1 = 0.664; d2 = 0.768; d3 = 0.665; PPLX 2^6.80 = 111.6
ITER  53: d0 = 0.269; d1 = 0.679; d2 = 0.768; d3 = 0.681; PPLX 2^6.79 = 111.0
ITER  54: d0 = 0.341; d1 = 0.683; d2 = 0.749; d3 = 0.662; PPLX 2^6.81 = 112.1
ITER  55: d0 = 0.435; d1 = 0.649; d2 = 0.759; d3 = 0.684; PPLX 2^6.80 = 111.2
ITER  56: d0 = 0.366; d1 = 0.679; d2 = 0.771; d3 = 0.678; PPLX 2^6.80 = 111.1
ITER  57: d0 = 0.522; d1 = 0.657; d2 = 0.744; d3 = 0.679; PPLX 2^6.80 = 111.7
ITER  58: d0 = 0.355; d1 = 0.681; d2 = 0.769; d3 = 0.666; PPLX 2^6.80 = 111.5
ITER  59: d0 = 0.520; d1 = 0.685; d2 = 0.767; d3 = 0.671; PPLX 2^6.80 = 111.3
ITER  60: d0 = 0.294; d1 = 0.663; d2 = 0.777; d3 = 0.682; PPLX 2^6.79 = 110.8
