58714 (out of 1561360) words in dict
1521826 training, 39534 testing
587155 restaurants created
204.452kB of test data
ITER   0: d0 = 0.670; d1 = 0.829; d2 = 0.910; PPLX 2^7.60 = 193.7
ITER   1: d0 = 0.708; d1 = 0.799; d2 = 0.898; PPLX 2^7.58 = 191.8
ITER   2: d0 = 0.645; d1 = 0.855; d2 = 0.904; PPLX 2^7.60 = 194.0
ITER   3: d0 = 0.728; d1 = 0.825; d2 = 0.915; PPLX 2^7.59 = 193.1
ITER   4: d0 = 0.715; d1 = 0.831; d2 = 0.901; PPLX 2^7.59 = 192.5
ITER   5: d0 = 0.662; d1 = 0.830; d2 = 0.904; PPLX 2^7.59 = 192.3
ITER   6: d0 = 0.720; d1 = 0.839; d2 = 0.892; PPLX 2^7.59 = 192.6
ITER   7: d0 = 0.659; d1 = 0.802; d2 = 0.900; PPLX 2^7.58 = 191.6
ITER   8: d0 = 0.653; d1 = 0.824; d2 = 0.910; PPLX 2^7.58 = 191.9
ITER   9: d0 = 0.638; d1 = 0.808; d2 = 0.899; PPLX 2^7.58 = 190.8
ITER  10: d0 = 0.768; d1 = 0.824; d2 = 0.911; PPLX 2^7.58 = 191.8
ITER  11: d0 = 0.720; d1 = 0.826; d2 = 0.913; PPLX 2^7.58 = 191.8
ITER  12: d0 = 0.700; d1 = 0.832; d2 = 0.913; PPLX 2^7.59 = 192.3
ITER  13: d0 = 0.727; d1 = 0.801; d2 = 0.894; PPLX 2^7.57 = 190.6
ITER  14: d0 = 0.695; d1 = 0.854; d2 = 0.890; PPLX 2^7.59 = 193.2
ITER  15: d0 = 0.676; d1 = 0.826; d2 = 0.904; PPLX 2^7.59 = 192.2
ITER  16: d0 = 0.766; d1 = 0.832; d2 = 0.905; PPLX 2^7.59 = 192.2
ITER  17: d0 = 0.735; d1 = 0.794; d2 = 0.896; PPLX 2^7.57 = 190.6
ITER  18: d0 = 0.652; d1 = 0.835; d2 = 0.893; PPLX 2^7.58 = 192.0
ITER  19: d0 = 0.640; d1 = 0.798; d2 = 0.908; PPLX 2^7.57 = 190.6
ITER  20: d0 = 0.677; d1 = 0.810; d2 = 0.897; PPLX 2^7.58 = 190.9
ITER  21: d0 = 0.645; d1 = 0.812; d2 = 0.908; PPLX 2^7.58 = 191.7
ITER  22: d0 = 0.642; d1 = 0.840; d2 = 0.911; PPLX 2^7.59 = 192.7
ITER  23: d0 = 0.720; d1 = 0.836; d2 = 0.895; PPLX 2^7.58 = 191.7
ITER  24: d0 = 0.686; d1 = 0.820; d2 = 0.894; PPLX 2^7.58 = 190.8
ITER  25: d0 = 0.669; d1 = 0.832; d2 = 0.896; PPLX 2^7.58 = 191.7
ITER  26: d0 = 0.694; d1 = 0.830; d2 = 0.914; PPLX 2^7.58 = 191.9
ITER  27: d0 = 0.653; d1 = 0.817; d2 = 0.899; PPLX 2^7.58 = 190.9
ITER  28: d0 = 0.695; d1 = 0.840; d2 = 0.904; PPLX 2^7.58 = 191.7
ITER  29: d0 = 0.645; d1 = 0.815; d2 = 0.894; PPLX 2^7.58 = 190.8
ITER  30: d0 = 0.713; d1 = 0.801; d2 = 0.912; PPLX 2^7.57 = 190.7
