1161192 dom0, 360634 dom1 train, 39534 dom1 test
58715 unique words

*** BASELINE hpylm ***
136395 restaurants created
204.452kB of test data
ITER   0: d0 = 0.637; d1 = 0.815; d2 = 0.895; PPLX 2^7.55 = 187.9
ITER   1: d0 = 0.734; d1 = 0.790; d2 = 0.902; PPLX 2^7.55 = 187.6
ITER   2: d0 = 0.649; d1 = 0.783; d2 = 0.904; PPLX 2^7.54 = 186.4
ITER   3: d0 = 0.619; d1 = 0.802; d2 = 0.879; PPLX 2^7.54 = 186.5
ITER   4: d0 = 0.635; d1 = 0.800; d2 = 0.898; PPLX 2^7.54 = 186.2
ITER   5: d0 = 0.645; d1 = 0.811; d2 = 0.878; PPLX 2^7.55 = 187.0
ITER   6: d0 = 0.585; d1 = 0.836; d2 = 0.885; PPLX 2^7.55 = 187.6
ITER   7: d0 = 0.670; d1 = 0.843; d2 = 0.879; PPLX 2^7.55 = 187.6
ITER   8: d0 = 0.657; d1 = 0.813; d2 = 0.884; PPLX 2^7.54 = 186.5
ITER   9: d0 = 0.674; d1 = 0.843; d2 = 0.896; PPLX 2^7.55 = 187.9
ITER  10: d0 = 0.670; d1 = 0.825; d2 = 0.891; PPLX 2^7.55 = 186.9
ITER  11: d0 = 0.668; d1 = 0.832; d2 = 0.877; PPLX 2^7.55 = 187.1
ITER  12: d0 = 0.648; d1 = 0.792; d2 = 0.893; PPLX 2^7.54 = 186.1
ITER  13: d0 = 0.589; d1 = 0.825; d2 = 0.895; PPLX 2^7.55 = 187.1
ITER  14: d0 = 0.640; d1 = 0.801; d2 = 0.895; PPLX 2^7.54 = 186.2
ITER  15: d0 = 0.632; d1 = 0.804; d2 = 0.899; PPLX 2^7.54 = 186.2
ITER  16: d0 = 0.719; d1 = 0.817; d2 = 0.896; PPLX 2^7.55 = 187.5
ITER  17: d0 = 0.640; d1 = 0.802; d2 = 0.888; PPLX 2^7.54 = 186.0
ITER  18: d0 = 0.676; d1 = 0.843; d2 = 0.889; PPLX 2^7.55 = 187.9
ITER  19: d0 = 0.605; d1 = 0.817; d2 = 0.876; PPLX 2^7.54 = 186.7
ITER  20: d0 = 0.640; d1 = 0.848; d2 = 0.885; PPLX 2^7.56 = 188.1
ITER  21: d0 = 0.699; d1 = 0.847; d2 = 0.881; PPLX 2^7.55 = 187.9
ITER  22: d0 = 0.598; d1 = 0.841; d2 = 0.898; PPLX 2^7.55 = 187.3
ITER  23: d0 = 0.591; d1 = 0.796; d2 = 0.881; PPLX 2^7.53 = 185.0
ITER  24: d0 = 0.719; d1 = 0.831; d2 = 0.886; PPLX 2^7.55 = 187.1
ITER  25: d0 = 0.698; d1 = 0.818; d2 = 0.885; PPLX 2^7.55 = 187.0
ITER  26: d0 = 0.668; d1 = 0.812; d2 = 0.885; PPLX 2^7.54 = 186.1
ITER  27: d0 = 0.611; d1 = 0.815; d2 = 0.887; PPLX 2^7.54 = 186.5
ITER  28: d0 = 0.638; d1 = 0.800; d2 = 0.876; PPLX 2^7.54 = 186.3
ITER  29: d0 = 0.632; d1 = 0.824; d2 = 0.877; PPLX 2^7.55 = 187.1
ITER  30: d0 = 0.647; d1 = 0.805; d2 = 0.886; PPLX 2^7.54 = 186.0
ITER  31: d0 = 0.632; d1 = 0.803; d2 = 0.889; PPLX 2^7.54 = 186.2
ITER  32: d0 = 0.682; d1 = 0.817; d2 = 0.900; PPLX 2^7.54 = 186.5
ITER  33: d0 = 0.689; d1 = 0.816; d2 = 0.896; PPLX 2^7.54 = 186.7
ITER  34: d0 = 0.663; d1 = 0.813; d2 = 0.874; PPLX 2^7.55 = 186.8
ITER  35: d0 = 0.629; d1 = 0.820; d2 = 0.894; PPLX 2^7.54 = 186.6
ITER  36: d0 = 0.581; d1 = 0.813; d2 = 0.896; PPLX 2^7.54 = 186.3
ITER  37: d0 = 0.686; d1 = 0.831; d2 = 0.886; PPLX 2^7.55 = 187.6
ITER  38: d0 = 0.599; d1 = 0.839; d2 = 0.892; PPLX 2^7.55 = 187.6
ITER  39: d0 = 0.638; d1 = 0.802; d2 = 0.886; PPLX 2^7.54 = 186.5
ITER  40: d0 = 0.590; d1 = 0.842; d2 = 0.873; PPLX 2^7.55 = 187.3
ITER  41: d0 = 0.587; d1 = 0.816; d2 = 0.882; PPLX 2^7.54 = 186.4
ITER  42: d0 = 0.690; d1 = 0.833; d2 = 0.874; PPLX 2^7.55 = 187.2
ITER  43: d0 = 0.737; d1 = 0.840; d2 = 0.898; PPLX 2^7.55 = 188.0
ITER  44: d0 = 0.622; d1 = 0.834; d2 = 0.876; PPLX 2^7.55 = 186.9
ITER  45: d0 = 0.638; d1 = 0.807; d2 = 0.902; PPLX 2^7.54 = 186.1
ITER  46: d0 = 0.713; d1 = 0.837; d2 = 0.886; PPLX 2^7.55 = 187.4
ITER  47: d0 = 0.708; d1 = 0.839; d2 = 0.879; PPLX 2^7.55 = 188.0
ITER  48: d0 = 0.586; d1 = 0.818; d2 = 0.893; PPLX 2^7.54 = 186.3
ITER  49: d0 = 0.634; d1 = 0.785; d2 = 0.882; PPLX 2^7.54 = 185.8
ITER  50: d0 = 0.648; d1 = 0.793; d2 = 0.885; PPLX 2^7.54 = 186.3
ITER  51: d0 = 0.710; d1 = 0.825; d2 = 0.890; PPLX 2^7.55 = 187.1
ITER  52: d0 = 0.665; d1 = 0.812; d2 = 0.890; PPLX 2^7.54 = 186.7
ITER  53: d0 = 0.597; d1 = 0.828; d2 = 0.905; PPLX 2^7.55 = 186.9
ITER  54: d0 = 0.696; d1 = 0.838; d2 = 0.879; PPLX 2^7.55 = 186.8
ITER  55: d0 = 0.602; d1 = 0.841; d2 = 0.896; PPLX 2^7.54 = 186.7
ITER  56: d0 = 0.736; d1 = 0.793; d2 = 0.894; PPLX 2^7.54 = 186.6
ITER  57: d0 = 0.669; d1 = 0.801; d2 = 0.887; PPLX 2^7.54 = 186.3
ITER  58: d0 = 0.597; d1 = 0.842; d2 = 0.890; PPLX 2^7.55 = 187.4
ITER  59: d0 = 0.598; d1 = 0.819; d2 = 0.900; PPLX 2^7.54 = 186.4
ITER  60: d0 = 0.606; d1 = 0.800; d2 = 0.884; PPLX 2^7.54 = 185.8
ITER  61: d0 = 0.672; d1 = 0.819; d2 = 0.879; PPLX 2^7.55 = 186.8
ITER  62: d0 = 0.697; d1 = 0.846; d2 = 0.893; PPLX 2^7.55 = 187.9
ITER  63: d0 = 0.695; d1 = 0.841; d2 = 0.888; PPLX 2^7.55 = 188.0
ITER  64: d0 = 0.671; d1 = 0.835; d2 = 0.895; PPLX 2^7.55 = 187.4
ITER  65: d0 = 0.594; d1 = 0.821; d2 = 0.883; PPLX 2^7.55 = 186.9
ITER  66: d0 = 0.641; d1 = 0.849; d2 = 0.889; PPLX 2^7.55 = 187.6
ITER  67: d0 = 0.600; d1 = 0.832; d2 = 0.906; PPLX 2^7.55 = 187.5
ITER  68: d0 = 0.667; d1 = 0.821; d2 = 0.896; PPLX 2^7.55 = 187.1
ITER  69: d0 = 0.616; d1 = 0.805; d2 = 0.882; PPLX 2^7.54 = 186.3
