14502 (out of 400168) words in dict
360634 training, 39534 testing
136394 restaurants created
204.452kB of test data
ITER   0: d0 = 0.630; d1 = 0.809; d2 = 0.886; PPLX 2^7.48 = 178.2
ITER   1: d0 = 0.667; d1 = 0.782; d2 = 0.895; PPLX 2^7.47 = 177.0
ITER   2: d0 = 0.674; d1 = 0.782; d2 = 0.884; PPLX 2^7.47 = 177.1
ITER   3: d0 = 0.659; d1 = 0.782; d2 = 0.884; PPLX 2^7.47 = 176.9
ITER   4: d0 = 0.661; d1 = 0.818; d2 = 0.906; PPLX 2^7.47 = 177.7
ITER   5: d0 = 0.629; d1 = 0.805; d2 = 0.883; PPLX 2^7.47 = 177.7
ITER   6: d0 = 0.634; d1 = 0.838; d2 = 0.889; PPLX 2^7.48 = 178.7
ITER   7: d0 = 0.750; d1 = 0.840; d2 = 0.895; PPLX 2^7.48 = 178.4
ITER   8: d0 = 0.624; d1 = 0.792; d2 = 0.900; PPLX 2^7.47 = 177.3
ITER   9: d0 = 0.647; d1 = 0.781; d2 = 0.886; PPLX 2^7.46 = 176.4
ITER  10: d0 = 0.674; d1 = 0.784; d2 = 0.889; PPLX 2^7.46 = 176.6
ITER  11: d0 = 0.630; d1 = 0.820; d2 = 0.880; PPLX 2^7.47 = 177.8
ITER  12: d0 = 0.753; d1 = 0.799; d2 = 0.890; PPLX 2^7.47 = 177.1
ITER  13: d0 = 0.627; d1 = 0.794; d2 = 0.904; PPLX 2^7.47 = 176.8
ITER  14: d0 = 0.689; d1 = 0.834; d2 = 0.894; PPLX 2^7.47 = 177.7
ITER  15: d0 = 0.764; d1 = 0.819; d2 = 0.877; PPLX 2^7.47 = 176.8
ITER  16: d0 = 0.650; d1 = 0.800; d2 = 0.909; PPLX 2^7.47 = 177.6
ITER  17: d0 = 0.715; d1 = 0.830; d2 = 0.906; PPLX 2^7.47 = 177.8
ITER  18: d0 = 0.650; d1 = 0.820; d2 = 0.883; PPLX 2^7.47 = 177.5
ITER  19: d0 = 0.702; d1 = 0.835; d2 = 0.899; PPLX 2^7.48 = 178.4
ITER  20: d0 = 0.660; d1 = 0.830; d2 = 0.894; PPLX 2^7.47 = 177.7
ITER  21: d0 = 0.651; d1 = 0.807; d2 = 0.886; PPLX 2^7.47 = 177.0
ITER  22: d0 = 0.637; d1 = 0.833; d2 = 0.890; PPLX 2^7.48 = 178.1
ITER  23: d0 = 0.647; d1 = 0.806; d2 = 0.904; PPLX 2^7.47 = 177.6
ITER  24: d0 = 0.629; d1 = 0.828; d2 = 0.886; PPLX 2^7.48 = 178.0
ITER  25: d0 = 0.718; d1 = 0.795; d2 = 0.885; PPLX 2^7.46 = 176.2
ITER  26: d0 = 0.668; d1 = 0.782; d2 = 0.895; PPLX 2^7.46 = 176.2
ITER  27: d0 = 0.718; d1 = 0.844; d2 = 0.888; PPLX 2^7.48 = 178.4
ITER  28: d0 = 0.752; d1 = 0.790; d2 = 0.883; PPLX 2^7.46 = 176.4
ITER  29: d0 = 0.664; d1 = 0.834; d2 = 0.892; PPLX 2^7.48 = 178.2
ITER  30: d0 = 0.727; d1 = 0.824; d2 = 0.902; PPLX 2^7.47 = 177.5
ITER  31: d0 = 0.641; d1 = 0.829; d2 = 0.900; PPLX 2^7.47 = 177.4
ITER  32: d0 = 0.630; d1 = 0.832; d2 = 0.903; PPLX 2^7.48 = 178.1
ITER  33: d0 = 0.664; d1 = 0.833; d2 = 0.881; PPLX 2^7.47 = 177.9
ITER  34: d0 = 0.629; d1 = 0.801; d2 = 0.895; PPLX 2^7.47 = 176.9
ITER  35: d0 = 0.672; d1 = 0.820; d2 = 0.882; PPLX 2^7.47 = 177.3
ITER  36: d0 = 0.725; d1 = 0.786; d2 = 0.906; PPLX 2^7.46 = 176.3
ITER  37: d0 = 0.715; d1 = 0.809; d2 = 0.904; PPLX 2^7.47 = 176.7
ITER  38: d0 = 0.732; d1 = 0.796; d2 = 0.895; PPLX 2^7.47 = 176.8
ITER  39: d0 = 0.641; d1 = 0.824; d2 = 0.886; PPLX 2^7.48 = 178.0
ITER  40: d0 = 0.664; d1 = 0.823; d2 = 0.889; PPLX 2^7.47 = 177.7
ITER  41: d0 = 0.661; d1 = 0.832; d2 = 0.886; PPLX 2^7.47 = 177.9
ITER  42: d0 = 0.655; d1 = 0.790; d2 = 0.893; PPLX 2^7.46 = 176.6
ITER  43: d0 = 0.663; d1 = 0.800; d2 = 0.889; PPLX 2^7.47 = 177.0
ITER  44: d0 = 0.648; d1 = 0.792; d2 = 0.901; PPLX 2^7.47 = 176.7
ITER  45: d0 = 0.647; d1 = 0.816; d2 = 0.888; PPLX 2^7.47 = 176.9
