17964 (out of 15920737) words in dict
14957666 training, 963071 testing
1541820 restaurants created
6032.09kB of test data
ITER   0: d0 = 0.589; d1 = 0.756; d2 = 0.867; PPLX 2^6.85 = 115.0
ITER   1: d0 = 0.634; d1 = 0.769; d2 = 0.869; PPLX 2^6.85 = 115.1
ITER   2: d0 = 0.571; d1 = 0.771; d2 = 0.874; PPLX 2^6.85 = 115.2
ITER   3: d0 = 0.534; d1 = 0.746; d2 = 0.869; PPLX 2^6.84 = 114.8
ITER   4: d0 = 0.534; d1 = 0.751; d2 = 0.857; PPLX 2^6.84 = 114.7
ITER   5: d0 = 0.538; d1 = 0.758; d2 = 0.870; PPLX 2^6.84 = 114.8
ITER   6: d0 = 0.533; d1 = 0.745; d2 = 0.880; PPLX 2^6.84 = 114.9
ITER   7: d0 = 0.588; d1 = 0.751; d2 = 0.868; PPLX 2^6.84 = 114.7
ITER   8: d0 = 0.602; d1 = 0.756; d2 = 0.875; PPLX 2^6.84 = 114.7
ITER   9: d0 = 0.531; d1 = 0.761; d2 = 0.859; PPLX 2^6.84 = 114.6
ITER  10: d0 = 0.621; d1 = 0.769; d2 = 0.875; PPLX 2^6.84 = 114.8
ITER  11: d0 = 0.589; d1 = 0.744; d2 = 0.879; PPLX 2^6.84 = 114.7
ITER  12: d0 = 0.655; d1 = 0.767; d2 = 0.870; PPLX 2^6.84 = 114.7
ITER  13: d0 = 0.606; d1 = 0.737; d2 = 0.872; PPLX 2^6.84 = 114.6
ITER  14: d0 = 0.526; d1 = 0.761; d2 = 0.884; PPLX 2^6.84 = 114.9
ITER  15: d0 = 0.558; d1 = 0.773; d2 = 0.881; PPLX 2^6.84 = 114.9
ITER  16: d0 = 0.537; d1 = 0.763; d2 = 0.876; PPLX 2^6.84 = 114.7
ITER  17: d0 = 0.613; d1 = 0.750; d2 = 0.882; PPLX 2^6.84 = 114.8
ITER  18: d0 = 0.611; d1 = 0.768; d2 = 0.883; PPLX 2^6.84 = 114.9
ITER  19: d0 = 0.650; d1 = 0.764; d2 = 0.880; PPLX 2^6.84 = 114.8
ITER  20: d0 = 0.539; d1 = 0.745; d2 = 0.883; PPLX 2^6.84 = 114.7
ITER  21: d0 = 0.615; d1 = 0.753; d2 = 0.877; PPLX 2^6.84 = 114.6
ITER  22: d0 = 0.563; d1 = 0.762; d2 = 0.875; PPLX 2^6.84 = 114.7
ITER  23: d0 = 0.557; d1 = 0.751; d2 = 0.876; PPLX 2^6.84 = 114.6
ITER  24: d0 = 0.521; d1 = 0.777; d2 = 0.878; PPLX 2^6.84 = 114.8
